 laser[名],レーザー
 legally[副],合法的に、法的に
 legendary[形],伝説の、伝説的な
 legislation[名],立法、法律の制定
 legitimate[形],妥当な、筋の通った、合法的な
 lengthen[動],長くする、長くなる
 liberals[名],自由主義者
 lighting[名],照明
 liner[名],（大型の）定期船
 living standard[名],生活水準
 locomotive[名],機関車
 lodging[名],宿、宿泊設備、滞在場所
 loop[名],輪、湾曲、ループ
 lucrative[形],利益の上がる、もうかる
 lunar[形],月の
 magnify[動],拡大する、（事態を）悪化させる
 magnitude[名],大きさ、重要性
 majestic[形],威厳のある、堂々とした
 malaria[名],マラリア
 manifestation[名],表れ、証し、明示、表示
 map[動],地図を描く、計画する
 meditate[動],瞑想する
 Mediterranean[名],地中海
 merger[名],合併、合同、統合
 microscope[名],顕微鏡
 misuse[動],悪用する
 modernization[名],近代（現代）化
 mold[名],鋳型
 monarchy[名],君主制、君主国、君主政治
 monk[名],修道士、僧
 moth[名],ガ
 motive[名],動機、誘因
 mound[名],塚、盛り土
 multitude[名],多数、群衆
 municipal[形],地方自治の、自治都市の、市（町）の
 Native American[形],アメリカ先住民の
 natural science[名],自然科学
 newsmagazine[名],時事解説
 normalize[動],標準化する
 notable[形],有名な、注目すべき
 noted[形],有名な、著名な
 notorious[形],悪名高い
 novelty[名],目新しい物事、斬新さ
 novice[名],初心者
 nucleus[名],核
 nutrient[名],栄養物、栄養素
 oblige[動],義務付ける、～に強いる
 obsolete[形],すたれた、時代遅れの
 obtainable[形],得られる
 ongoing[形],進行中の、継続中の
 oppression[名],圧迫、抑圧
 oppressive[形],制圧的な、抑圧的な
 organic[形],オーガニックの、有機の、有機的な
 organizational[形],組織の
 originality[名],独創性
 outfit[名],服装、衣装
 outlaw[動],非合法化する、追放する
 outlet[名],直販店、販売代理店、店舗
 outspread[形],広がった、広げられた
 overtime[名],超過勤務（時間）、残業
 perch[動],(鳥が木などに)止まる
 perfume[名],香水、香料
 persuasion[名],説得
 pest[名],害虫、疫病
 petty[形],ささいな、小規模な、価値の少ない
 phenomena[名],現象、事象（phenomenonの複数形）
 plague[動],苦しめる
 platinum[名],白金
 plunge[動],飛び込む、突っ込む
 plural[形],複数の
 polish[動],磨く
 polished[形],洗練された
 poll[名],世論調査
 ponder[動],熟考する、思案する
 portray[動],（人物像などを）描く、表現する
 postwar[形],戦後の
 pound[動],ガンガンたたく
 practitioner[名],開業者、弁護士、開業医
 pragmatic[形],実践的な、実用的な
 precaution[名],用心、予防措置
 preface[名],序文
 pregnancy[名],妊娠
 premise[名],前提、基調
 prescribe[動],（薬など）を処方する、指示する
 prescription[名],処方箋、処方薬、処方
 preside[動],議長を務める、統轄する
 presumably[副],おそらく、たぶん
 prevailing[形],広く行われる、流行している、優勢な
 probe[名],探査、探索機、探査ロケット
 profuse[形],たっぷりの
 progression[名],進行、発展
 prop[動],支える、突っかい棒をする
 prosecution[名],起訴、訴追
 prosperous[形],繁栄している、裕福な
 psychiatrist[名],精神科医
 punctuality[名],時間厳守
 punishment[名],罰すること、刑罰
 queue[名],（順番を待つ）列
 quilt[名],キルト
 racism[名],人種優越主義、人種差別
 raise[動],（資金など）を集める、募る
 raw material[名],原料
 reactor[名],原子炉、反応炉
 rebellion[名],謀反、反乱
 reconcile[動],調和させる、和解させる
 reconstruct[動],再建する、再構築する
 reddish[形],赤みがかった
 redefine[動],再評価する、再定義する
 refuge[名],避難、避難所
 regime[名],（政治の）体制、（強圧的な）政権
 reign[名],統治、治世
 relay[動],中継する
 remain[名],遺体、遺骨、遺物、残り
 reptile[名],は虫類
 requirement[名],必需品、必要条件
 resolute[形],断固とした、意志の固い
 restructuring[名],事業の再構築、（組織など）の構造改革
 retrieve[動],回収する、取ってくる、検索する
 reuse[動],再利用する
 revolt[名],反乱
 rigid[形],堅い、厳格な
 rug[名],敷物、じゅうたん、ラグ
 saltiness[名],塩分
 salvation[名],救済
 satire[名],風刺、皮肉
 scar[名],傷跡
 scarlet[形],深紅の、赤面した
 seasonal[形],季節の、季節的な
 selective[形],選択の厳格な、えり好みする
 semester[名],学期、半期
 shuttle[名],（飛行機、バスなどの）往復便
 Siberia[名],シベリア
 simultaneously[副],同時に
 sled[名],そり
 snowshoe[名],かんじき
 socialist[名],社会主義者
 solemn[形],厳粛な
 solitary[形],孤独な、孤独を好む、単独行動する
 soprano[名],ソプラノ
 sovereign[名],君主、統治者
 spacecraft[名],宇宙船
 span[動],～に及ぶ、～に広がる
 sparkling[形],火花を発する、輝く
 spear[名],やり
 specialty[名],専門
 speculate[動],推測する、熟考する
 spell[名],呪文
 spine[名],脊柱、背骨
 spontaneous[形],自発的な、自然発生的な
 spouse[名],配偶者
 stained glass[名],ステンドグラス
 stalk[名],茎、柄
 stammer[動],口ごも、るどもる
 statesman[名],政治家
 stimulating[形],刺激する
 stimulation[名],刺激
 sting[名],刺し傷、痛み、刺されること
 strand[名],より糸、ひも
 stray[動],はぐれる、迷う
 stroll[動],ぶらつく、ぶらぶら歩く
 subconscious[名],潜在意識
 subside[動],沈静化する、（強さが）弱まる
 subsidiary[名],子会社
 subsidiary[形],補助の、付随する
 subtract[動],差し引く、減じる
 subtraction[名],減法
 superficial[形],表面的な、うわべの
 supervise[動],監督する
 supervision[名],監督、管理、統率、指揮
 surpass[動],～を上回る、～に優る、超える
 sweatshirt[名],スウェット、トレーナー
 syndrome[名],症候群
 tabloid[名],タブロイド判新聞
 tan[名],日焼け、日焼けした色
 tangle[動],紛糾（混乱）させる
 tap[動],活用する
 testify[動],証言する
 thesis[名],論文、主題
 thrive[動],繁栄する、よく育つ
 timber[名],木材、材木
 tinfoil[名],アルミ箔
 tonal[形],調子の、音色の
 torment[動],悩ます
 toxic[形],有毒な
 trademark[名],商標
 trait[名],特性、特色
 transparency[名],透明性
 trivial[形],ささいな、取るに足りない、平凡な
 Tropical Zone[名],熱帯
 turmoil[名],騒ぎ、騒動、混乱
 twig[名],小枝
 tyranny[名],暴政、専制政治
 tyrant[名],専制君主
