 spectacular[形],壮観な、見事な、見ごたえのある,,,,,,,,
 sphere[名],球、球体,,,,,,,,
 spin[動],回転する/させる,,,,,,,,
 spokesperson[名],代弁者、スポークスマン,,,,,,,,
 stain[名],染み、汚れ,,,,,,,,
 stand[動],耐える、我慢する,,,,,,,,
 steady[形],安定した、変わらない、着実な,,,,,,,,
 steep[形],（傾斜が）急な、（変化などが）大幅な,,,,,,,,
 stem[名],茎、幹,,,,,,,,
 stimulus[名],刺激,,,,,,,,
 stir[動],かき回す、かき混ぜる,,,,,,,,
 stock[名],株式,,,,,,,,
 storage[名],（物の）貯蔵、保管,,,,,,,,
 strictly[副],厳格に、厳密に,,,,,,,,
 supplier[名],納入業者、供給業者、供給者,,,,,,,,
 swear[動],誓う、宣誓する,,,,,,,,
 swiftly[副],すばやく、迅速に,,,,,,,,
 symptom[名],症状、徴候,,,,,,,,
 tax-free[形],非課税の,,,,,,,,
 temporary[形],一時的な、臨時の,,,,,,,,
 terrible[形],ひどい、恐ろしい,,,,,,,,
 terrifically[副],ものすごく,,,,,,,,
 theft[名],窃盗（罪）,,,,,,,,
 theme[名],主題、テーマ,,,,,,,,
 thread[名],糸,,,,,,,,
 tightly[副],しっかりと、きつく,,,,,,,,
 tip[名],先、先端,,,,,,,,
 tourism[名],観光業,,,,,,,,
 tradition[名],伝統,,,,,,,,
 transformation[名],変形,,,,,,,,
 treasure[名],財宝、宝物,,,,,,,,
 tremble[動],震える,,,,,,,,
 troop[名],部隊、兵隊,,,,,,,,
 turn[名],順番、番,,,,,,,,
 typhoon[名],台風,,,,,,,,
 typically[副],一般的に、典型的に、通常,,,,,,,,
 ultimately[副],最終的に、結局は,,,,,,,,
 uncomfortable[形],厄介な、心地よくない,,,,,,,,
 underground[副],地下に（で）,,,,,,,,
 unemployment[名],失業,,,,,,,,
 unite[動],団結させる、団結する、一体化する、統合する,,,,,,,,
 universal[形],普遍的な,,,,,,,,
 unpleasant[形],不愉快な、不快な、嫌な,,,,,,,,
 up-to-date[形],（情報などが）最新の,,,,,,,,
 upgrade[動],等級を上げる、品質を改良する、格上げする,,,,,,,,
 upright[副],まっすぐに,,,,,,,,
 upset[形],うろたえた、動揺した、憤慨した,,,,,,,,
 verse[名],韻文,,,,,,,,
 via[前],～経由で,,,,,,,,
 vibration[名],振動,,,,,,,,
 vineyard[名],ブドウ畑,,,,,,,,
 violation[名],違反,,,,,,,,
 virus[名],ウイルス,,,,,,,,
 voting[名],投票,,,,,,,,
 voyage[名],航海,,,,,,,,
 vulnerable[形],弱い、傷つきやすい,,,,,,,,
 wake[名],航跡、余波,,,,,,,,
 weave[動],織る,,,,,,,,
 web[名],クモの巣、網状組織、（インターネットの）ウェブ,,,,,,,,
 weep[動],泣く,,,,,,,,
 witness[動],目撃する、直面する、経験する,,,,,,,,
 workshop[名],講習会、研修会,,,,,,,,
 yell[動],叫ぶ、怒鳴る、わめく,,,,,,,,
