 metaphor[名],隠喩、暗喩
 meteor[名],流星
 meticulously[副],注意深く、慎重に
 mettle[名],勇気
 military service[名],軍役
 miscellaneous[形],種々雑多な
 mitigate[動],（苦痛などを）軽減する
 mollusk[名],軟体動物
 molten[形],溶けた、融解された
 Mongoloid[名],モンゴル人種
 monogamy[名],単婚制
 mournful[形],痛ましい
 myriad[名],無数
 mythology[名],神話学
 Neolithic Age[名],新石器時代
 nitrate[名],硝酸塩
 nitrogen[名],窒素
 nomad[名],遊牧民、放浪者
 nostalgia[名],追憶、郷愁
 oblivion[名],忘却
 omnivorous[形],雑食性の
 opportune[形],適切な
 opportunist[名],日和見主義者
 ordain[動],(神が)定める
 overshadow[動],影を投げ掛ける
 oxidize[動],酸化する
 perihelion[名],近日点(軌道上で太陽に最も近づく点)
 periodic[形],定期的な、周期的な
 periodical[名],定期刊行物、雑誌
 pharmaceutical[形],調剤の、薬剤の、薬学の
 phosphorus[名],リン
 physiological[形],生理的な
 pivotal[形],極めて重要な、中心となる
 placid[形],穏やかな、落ち着いた
 plaintiff[名],原告、告訴人
 platypus[名],カモノハシ
 plume[名],羽、羽毛
 ply[動],定期航行する、定期的に往復する、行ったり来たりする
 pollination[名],受粉
 pollutant[名],汚染物質、汚染源
 populist[形],大衆主義者
 pore[名],毛穴
 posterity[名],子孫、後世の人々
 prawn[名],クルマエビ
 precipitous[形],険しい、断崖絶壁の
 precipitously[副],急激に
 predominant[形],圧倒的な、優勢な
 prerequisite[名],必須条件、必要条件
 prize[動],高く評価する、尊重する
 profitless[形],無益な
 prohibition[名],禁止
 propulsion[名],推進力
 prospector[名],探鉱者
 purge[動],取り除く、一掃する、追放する
 quantum mechanics[名],量子力学
 quantum theory[名],量子論
 quarry[動],（石などを）切り出す
 quencher[名],抑制するもの、和らげるもの
 quiescent[形],無活動の、静止した
 rabies[名],狂犬病
 radiant energy[名],放射エネルギー
 rash[名],発疹、皮疹
 readable[形],読みやすい
 real estate[名],不動産
