 miner[名],鉱山労働者
 missionary[名],伝道師、宣教師
 mob[名],暴徒、群集
 modification[名],修正
 mold[名],カビ
 molecule[名],分子
 momentum[名],勢い、機運、運動量
 monopoly[名],独占、専売
 mortal[形],致命的な、死ぬ運命にある
 mutter[動],つぶやく、ぶつぶつ不平を言う
 myth[名],神話、作り話、虚構
 negligence[名],怠慢、手抜き、過失
 negligent[形],怠慢な、無頓着な
 negligible[形],ごくわずかな、取るに足らない
 nest[名],巣
 nighttime[名],夜間
 norm[名],規範、典型
 nourish[動],栄養を与える、養う
 nourishment[名],滋養物、食物
 nuclear plant[名],原子力発電所
 nursery[名],託児所
 nutritional[形],栄養上の
 oak[名],オーク（カシの木など）
 obedient[形],従順な
 obese[形],肥満体の、太り過ぎの
 odor[名],におい、悪臭
 offset[動],相殺する
 operating[形],運営の、経営上の
 orbit[動],（惑星/人工衛星が）軌道を回る
 orderly[形],整然とした、秩序立った
 ornament[名],装飾（品）
 orphan[名],孤児
 outbreak[名],発生、勃発
 outlaw[名],ならず者
 outlook[名],外観、眺望、態度
 outset[名],着手、発端、初め
 overturn[動],横転させる、ひっくり返す
 owl[名],フクロウ
 ownership[名],所有者であること、所有権
 ozone[名],オゾン
 paralyze[動],麻痺させる
 pastoral[形],牧畜の
 patent[動],特許を取る
 pathetic[形],痛ましい、哀れを誘う、みじめな
 peasant[名],農民、小作農
 pedestrian[名],歩行者、徒歩旅行者
 pending[形],未解決の、懸案中の
 perch[名],（鳥かごなどの）止まり木
 permanence[名],永続性、永久不変
 persecute[動],迫害する
 persecution[名],迫害
 perseverance[名],忍耐、辛抱、不屈の精神
 persistent[形],持続的な、持続性の、粘り強い
 pessimism[名],悲観主義
 pesticide[名],殺虫剤
 physician[名],内科医
 pier[名],埠頭、桟橋
 plague[名],疫病、伝染病
 planetary[形],惑星の
 plead[動],嘆願する、懇願する
 potent[形],強力な、良く効く
 prairie[名],大草原
 precedence[名],優先、先行
 predecessor[名],前任者、前機種、前身
 preliminary[形],予備の、暫定の、事前の
 prevalent[形],普及している、広く行き渡った、蔓延している
 prism[名],プリズム
 privilege[名],特権、特典
 probability[名],確率、可能性、見込み
 probe[動],調査する、突きとめる
 productivity[名],生産性
 profoundly[副],深く、大いに
 prohibit[動],禁止する
 prolonged[形],長期の、長期にわたる、長引く
 pronounce[動],発音する、公表する
 property[名],属性、性質
 prune[動],刈り込む、（木などを）剪定する
 pulse[名],脈拍、鼓動、心拍
 pupil[名],（眼の）瞳孔
 puppet[名],操り人形
 purposely[副],故意に
 queer[形],奇妙な、変な、怪しい、気が狂った
 questionnaire[名],質問票、アンケート
 radiation[名],放射能、放射線、放射
 rainforest[名],（熱帯）雨林
 ranch[名],牧場、放牧場
 realism[名],現実主義、写実主義、リアリズム
 reap[動],収穫する
 rear[動],育てる
 reasoning[名],推論、理論、論拠
 recede[動],後退する、弱まる
 reflection[名],反射、反響、反映、影響
 reinforce[動],補強する、強化する
 relish[名],好み、風味
 render[動],与える
 renewal[名],更新、再開、再建
 renowned[形],有名な、著名な
 reproach[動],叱責する、非難する
 responsive[形],（～に）敏感な、よく反応する
 resume[名],要約、レジュメ、履歴書
 ridicule[名],あざけり、嘲笑
 ripen[動],成熟する
 rooster[名],おんどり
 Saturn[名],土星
 Saudi Arabia[名],サウジアラビア
 saxophone[名],サクソフォン
 scarcity[名],不足、欠乏、希少性
 scented[形],香りの付いた
 seal[名],アザラシ
 self-confident[形],（自分（の能力など）に）自信がある
 selfish[形],利己的な、自己中心的な
 sensitivity[名],敏感さ、感受性
 serene[形],穏やかな
 settler[名],入植者、開拓者
 shabby[形],みすぼらしい、ぼろぼろの
 sheer[形],まったくの、真の
 simplify[動],簡単にする、単純化する
 skeptical[形],懐疑的な、疑い深い
 slowness[名],遅さ
 smog[名],スモッグ
 smuggle[動],密輸する
 sociable[形],社交的な
 socially[副],社会的に
 sociologist[名],社会学者
 soloist[名],独奏者
 soothe[動],なだめる、和らげる
 sorrow[名],悲しみ
 sound[副],（眠りが）深く
 spiritually[副],霊的に、精神的に
 sponsor[動],資金援助する
 sprinkle[動],まく、散りばめる
 stabilize[動],安定させる
 staple[形],主要な、基本的な
 statistical[形],統計の、統計上の
 stereotype[名],固定観念
 sting[動],（蜂などが）刺す
 storehouse[名],倉庫
 stout[形],がっしりした、頑丈な
 straightforward[形],率直な、正直な
 strand[動],立ち往生させる、（船を）座礁させる
 strife[名],争い、不和、衝突
 stun[動],びっくりさせる、動転させる、気絶させる
 subdue[動],征服する、鎮圧する、抑える
 submarine[名],潜水艦
 subordinate[名],部下
 suburban[形],郊外の
 suite[名],（ホテルの）スイートルーム、ひと続きの部屋
 summary[名],要約
 superb[形],素晴らしい、最高の
 superbly[副],見事に
 superstition[名],迷信
 supplement[名],栄養補助剤
 surge[名],急上昇、急増、急騰
 synchronize[動],同時性を持つ、同期する
 tavern[名],酒場
 terminate[動],終わらせる、やめる、首にする
 texture[名],（布地、皮膚などの）感触、手触り、織り方、生地
