 maple[名],カエデ、モミジ
 mature[形],成熟した
 maze[名],迷路、迷宮
 meadow[名],牧草地、草地、草原
 mediate[動],調停する、仲介する
 medication[名],医薬、投薬
 mercy[名],慈悲、哀れみ、情け
 merge[動],合併する、合流する
 methane[名],メタン、沼気【しょうき】
 mint[名],ハッカ
 monarch[名],絶対君主、国王
 mortality[名],死亡、死すべき運命、死亡率
 mortgage[名],住宅ローン、抵当、担保
 moss[名],苔
 muscular[形],筋骨隆々とした、筋肉の、力強い
 narrative[形],物語風の
 narrowly[副],狭く、かろうじて
 native land[名],生まれ故郷
 necessity[名],必要、必要性、必需品
 neighboring[形],隣の、近隣の
 nominate[動],指名する
 nuclear family[名],核家族
 oath[名],宣誓
 obstinate[形],頑固な、強情な
 occupational[形],職業の、職業的な
 optimist[名],楽天家
 ordeal[名],苦しい試練
 organ[名],臓器、器官
 organism[名],生物、有機体
 Oriental[名],東洋人
 ornamental[形],装飾用の
 oust[動],（権利などを）取り上げる、追放する
 outdated[形],時代遅れの
 outer[形],外の、外側の
 outgoing[形],社交的な、外向的な、発信用の、外に出ていく
 outskirt[名],(町・都市の)外れ、郊外、周辺
 overnight[副],一夜にして、突如、一晩（中）、夜通しで
 overtake[動],追い抜く
 overthrow[動],転覆させる、撤廃する
 packed[形],満員の、満載の
 paradox[名],逆説、矛盾
 paragraph[名],パラグラフ、段落
 particle[名],粒子、微粒子、素粒子
 patriot[名],愛国者
 peacock[名],クジャク
 perish[動],死ぬ、消え去る、滅びる
 perpetual[形],永久の、永遠の
 perplex[動],困惑/当惑させる
 perplexing[形],面倒な
 persistently[副],持続的に、しつこく
 pessimistic[形],悲観的な、悲観主義の
 petroleum[名],石油
 philosophical[形],達観した、冷静な、哲学的な
 plight[名],窮状
 poach[動],密漁/密猟する
 poison[名],毒、毒物
 polar bear[名],ホッキョクグマ
 poll[名],（選挙の）投票
 polluted[形],汚染された
 pope[名],（the P ～で）ローマ法王、ローマ教皇
 populate[動],住む、住み着く
 potentially[副],潜在的には、もしかすると
 pottery[名],陶器類、陶芸
 precision[名],正確、精密、精度
 precision[形],精密な、高精度の
 pregnant[形],妊娠した、懐妊した
 priceless[形],とても高価な
 privileged[形],特権のある
 problematic[形],問題のある
 procession[名],行列、行進
 projection[名],投射、投影
 proposition[名],提案、命題、陳述
 prototype[名],模範、原型、試作品
 provincial[形],地方の、田舎の
 prudent[形],賢明な、慎重な
 quota[名],割り当て、分担、定員、定数
 radioactive[形],放射性（能）の（ある）
 range[名],連山
 rapidity[名],迅速さ
 realm[名],領域、領土、分野
 reckon[動],～と考える、推測する
 redundant[形],重複する、余分な、不必要な
 refrigerate[動],冷蔵、冷凍する
 rehabilitate[動],修復する、回復させる
 reign[動],統治する、君臨する
 relevant[形],関連性のある、適切な
 relish[動],楽しむ、好む
 reminiscent[形],連想させる、追憶の
 respective[形],それぞれの
 restrictive[形],制限的な
 revolve[動],回転する
 rhetoric[名],修辞（法）
 riches[名],富、財宝
 ridicule[動],あざ笑う、からかう
 riot[名],暴動
 ripple[名],さざ波、波紋、影響
 ritual[名],儀式
 Romania[名],ルーマニア
 rotate[動],回転する、回転させる、自転する
 rotation[名],自転
 rouse[動],目を覚まさせる
 rubbery[形],弾性のある
 rugged[形],でこぼこな
 rust[名],錆
 rusty[形],さびた
 savory[形],食欲をそそる、味の良い
 scale[名],うろこ
 sculptor[名],彫刻家
 seasoning[名],調味料
 sermon[名],説教
 shellfish[名],貝類、甲殻類
 shred[名],一片、断片
 shrub[名],低木、茂み
 simultaneous[形],同時の
 singular[形],珍しい、風変わりな、単独の
 sink[名],流し
 situate[動],置く、位置づける
 skid[動],（車が）スリップする
 slavery[名],奴隷制度
 slay[動],殺す
 small talk[名],（当たり障りのない）世間話、雑談
 snail[名],カタツムリ
 sober[形],しらふの、冷静な
 socialist[形],社会主義の
 son-in-law[名],娘婿、義理の息子
 specialization[名],専門
 specimen[名],標本、見本
