 continuum[名],連続（体）,知ってる,2020/6/29,1,,,,,
 contour[名],輪郭、外形,知ってる,2021/1/18,,,,,,
 convection[名],対流、漂流,知ってる,2020/6/28,,,,,,
 converse[名],反対、逆,知ってる,2020/6/3,,,,,,
 Copernican[形],コペルニクス的、画期的な,知ってる,2020/6/29,,,,,,
 coral[名],サンゴ、サンゴ虫,知ってる,2020/6/3,,,,,,
 corporal[形],身体の、肉体の,知ってる,2020/6/29,2,,,,,
 counterfeit[形],偽造の,知ってる,2020/6/20,2,,,,,
 counterproductive[形],逆効果の、非生産的な,知ってる,2020/6/29,,,,,,
 craftsmanship[名],職人技,知ってる,2020/6/29,,,,,,
 crammer[名],塾、予備校,知らない,2021/1/18,,,,,,
 crater[名],噴火口、（月面などの）クレーター,知ってる,2020/6/19,,,,,,
 creed[名],（宗教上の）信条,知ってる,2020/6/3,1,,,,,
 cross-credit[動],単位を移行する、単位を振り替える,知ってる,2020/6/29,,,,,,
 cross-section[名],断面（図）、横に切ること,知らない,2021/1/18,,,,,,
 crumple[動],捻じ曲げる、しわくちゃにする,知らない,2021/1/18,,,,,,
 crustacean[名],（エビやミジンコなどの）甲殻類,知ってる,2020/6/20,,,,,,
 cub[名],（肉食捕食動物の）子、幼獣,知ってる,2020/6/8,,,,,,
 culprit[名],原因（となるもの）、犯人,知ってる,2020/6/29,,,,,,
 cumulative[形],累積の、累積的な,知ってる,2020/6/8,,,,,,
 curator[名],（図書館、美術館などの）館長、学芸員,知ってる,2020/6/20,2,,,,,
 curfew[名],門限,知ってる,2020/6/18,3,,,,,
 curriculum vitae[名],履歴書,知らない,2021/1/18,,,,,,
 cursory[形],大まかな、せっかちの、ぞんざいな,知ってる,2020/6/3,,,,,,
 curtail[動],削減する、短縮する、制限する、切り詰める,知ってる,2020/6/20,1,,,,,
 cyanide[名],シアン化物,知ってる,2020/6/29,,,,,,
 dearth[名],不足、欠乏,知ってる,2020/6/29,1,,,,,
 deceased[形],死んだ,知ってる,2020/6/8,1,,,,,
