"der Junge, -n ",少年、男の子
der Kaffee ,コーヒー
kaputt,壊れる
"die Karte, -n ",地図、切符、メニュー、カード
"(Kredit)-Karte, -n ",クレジットカード
"die Kartoffel, -n ",じゃがいも
die Kasse,レジ、カウンター
kaufen,買う
kein,ない
kennen ,知る、分かる
kennenlernen ,知り合う
"das Kind, -er ",子供
der Kindergarten,幼稚園
"das Kino, -s ",映画館
der Kiosk ,売店
klar ,明らか、勿論
die Klasse ,クラス、級、階級
die Kleidung ,服、ドレス
klein ,小さい
kochen ,料理する
"der Koffer, – ",スーツケース
"der Kollege, -n ",同僚
kommen ,来る、行く
können ,できる
das Konto ,アカウント、口座
der Kopf,頭
kosten ,費やす
krank,病気
kriegen,もらう、受け取る
die Küche,キッチン
der Kuchen,ケーキ
der Kugelschreiber,ボールペン、ペン
der Kühlschrank ,冷蔵庫
kulturell ,文化
sich kümmern,世話をする
"der Kunde, -n ",お客
"der Kurs, -e ",コース
kurz ,短い
lachen ,笑う
"der Laden, -ä ",店
"das Land, -ä, er ",国
lang,長い
lange ,長らく、ずっと
langsam ,ゆっくり
laufen,走る、歩く
laut ,うるさい
leben ,住む、生きる
das Leben ,人生、生活
die Lebensmittel ,食品
ledig,独身
legen ,置く
"der Lehrer, – ",先生
leicht ,軽い、簡単な
leider ,残念
leise ,静か、そっと
lernen,学ぶ
lesen ,読む
letzt- ,最後、最近
die Leute,人
das Licht,ライト
lieb- ,愛する、親愛なる
lieben ,愛する
lieber ,むしろ
Lieblings- ,お気に入り
"das Lied, -er ",歌
liegen,横になる、寝る、位置している
links ,左、左側：
"der Lkw, -s ",トラック
das Lokal,酒場
"die Lösung, -en ",解決、回答
lustig ,楽しい、面白い
machen ,する、やる
"das Mädchen, – ",少女、女の子
man ,人々
"der Mann, -ä, er ",男性、夫
männlich,男性、男らしい
"die Maschine, -n ",機械
das Meer ,海
mehr ,もっと
mein,私の
meist- ,もっとも、おおかた
"der Mensch, -en ",人間、人
mieten ,借りる
die Miete ,家賃
die Milch,牛乳
mit ,〜と一緒に
mitbringen ,持ち寄る、持って行く
mitkommen ,ついて行く
mitmachen ,参加する、加わる
mitnehmen ,持ち帰る、連れて行く
die Mitte ,中心、中心地
die Möbel,家具
